text,url
___,#
Upwork home,/
Sign up,/nx/signup/
Log in,/ab/account-security/login
Sign up,/nx/signup/
Explore more,/hire/
Book consultation,/services/consultations/
Cold callers,/hire/cold-callers/
Content moderators,/hire/content-moderators/
Lead generation specialists,/hire/lead-generation-specialists/
Personal assistants,/hire/personal-assistants/
Virtual assistants,/hire/virtual-assistants/
Automation engineers,/hire/automation-engineers/
Chatbot developers,/hire/chatbot-developers/
Computer vision engineers,/hire/computer-vision-engineers/
Ethical hackers,/hire/certified-ethical-hackers/
Machine learning engineers,/hire/machine-learning-experts/
Graphic designers,/hire/graphic-designers/
Illustrators,/hire/illustrators/
Logo designers,/hire/logo-designers/
UX designers,/hire/ux-designers/
Web designers,/hire/web-designers/
Mobile app developers,/hire/mobile-app-developers/
Python developers,/hire/python-developers/
Software developers,/hire/software-developers/
Web developers,/hire/web-developers/
WordPress developers,/hire/wordpress-developers/
Digital marketers,/hire/digital-marketers/
Email marketers,/hire/email-marketing-consultants/
Google Ads experts,/hire/google-adwords-experts/
SEO experts,/hire/seo-experts/
Social media managers,/hire/social-media-managers/
Animators,/hire/animators/
Audio editors,/hire/audio-editors/
Music producers,/hire/music-producers/
Video editors,/hire/video-editors/
Voice actors,/hire/voice-actors/
Book editors,/hire/book-editing-freelancers/
Content writers,/hire/content-writers/
Copywriters,/hire/copywriters/
Email copywriters,/hire/email-copywriting-freelancers/
Ghostwriters,/hire/ghostwriters/
Explore more,/hire/
Book consultation,/services/consultations/
Explore more,/freelance-jobs/
Ways to earn,/work
Win work with ads,/work/promote/
Join Freelancer Plus,/work/freelancerplus
Chat support jobs,/freelance-jobs/chat-support/
Cold calling jobs,/freelance-jobs/cold-calling/
Content moderation jobs,/freelance-jobs/content-moderation/
Lead generation jobs,/freelance-jobs/lead-generation/
Virtual assistant jobs,/freelance-jobs/virtual-assistant/
AI app development jobs,/freelance-jobs/ai-app-developers/
Chatbot development jobs,/freelance-jobs/chatbot-development/
Ethical hacking jobs,/freelance-jobs/ethical-hacking/
Machine learning jobs,/freelance-jobs/machine-learning/
OpenAI jobs,/freelance-jobs/openai/
Canva jobs,/freelance-jobs/canva/
Graphic design jobs,/freelance-jobs/graphic-design/
Illustration jobs,/freelance-jobs/illustration/
Logo design jobs,/freelance-jobs/logo-design/
Web design jobs,/freelance-jobs/web-design/
Mobile app development jobs,/freelance-jobs/mobile-app-development/
Python jobs,/freelance-jobs/python/
Software development jobs,/freelance-jobs/software-development/
Web development jobs,/freelance-jobs/web-development/
WordPress jobs,/freelance-jobs/wordpress/
Digital marketing jobs,/freelance-jobs/digital-marketing/
Email marketing jobs,/freelance-jobs/email-marketing/
Google Ads jobs,/freelance-jobs/google-adwords/
SEO jobs,/freelance-jobs/seo/
Social media management jobs,/freelance-jobs/social-media-management/
Animation jobs,/freelance-jobs/animation/
Audio editing jobs,/freelance-jobs/audio-editing/
Music production jobs,/freelance-jobs/music-producer/
Video editing jobs,/freelance-jobs/video-editing/
Voice over jobs,/freelance-jobs/voice-over/
Book editing jobs,/freelance-jobs/book-editing/
Content writing jobs,/freelance-jobs/content-writing/
Copywriting jobs,/freelance-jobs/copywriting/
Email copywriting jobs,/freelance-jobs/email-copywriting/
Ghostwriting jobs,/freelance-jobs/ghostwriting/
Explore more,/freelance-jobs/
Ways to earn,/work
Win work with ads,/work/promote/
Join Freelancer Plus,/work/freelancerplus
Success stories,/success-stories
How to hire,/i/how-it-works/client/
Reviews,/reviews/
How to find work,/i/how-it-works/freelancer/
How to Hire Freelancers on Upwork,/resources/how-to-hire-freelancers
How to Use Upwork as a Freelancer,/resources/upwork-for-beginners
Grow Your Freelance Business,/resources/growing-your-freelance-business
More resources,/resources
Success storiesDiscover how teams work strategically and grow together.,/success-stories
How to hireLearn about the different ways to get work done.,/i/how-it-works/client/
ReviewsSee what it’s like to collaborate on Upwork.,/reviews/
How to find workLearn about how to grow your independent career.,/i/how-it-works/freelancer/
How to Hire Freelancers on Upwork,/resources/how-to-hire-freelancers
How to Use Upwork as a Freelancer,/resources/upwork-for-beginners
Grow Your Freelance Business,/resources/growing-your-freelance-business
More resources,/resources
"Upwork UpdatesCheck out our latest products, partners, and enhancements.",/updates/
BlogNews and stories from the world’s work marketplace.,/blog
Research InstituteInsights and tools for business leaders navigating a new world of work.,/research
"Release notesOur latest product news, additions, and improvements.",/product-release-notes
"Upwork UpdatesCheck out our latest products, partners, and enhancements.",/updates/
BlogNews and stories from the world’s work marketplace.,/blog
Research InstituteInsights and tools for business leaders navigating a new world of work.,/research
